"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2019-09-24","84.5",-3.36251610092482,5.16155571957948,"Max Scherzer",516416,453286,"null","ball",,,,,"14","null","R","R","R","WSH","PHI","B","null","null",1,2,2019,-1.23430740504261,0.177419791289714,"0.02","0.67","null","null","null",0,6,"Top","null","null",,,"543228",,"190925_005416",10.2426450945607,-122.535541928699,-4.42294888597887,-14.292843999551,22.8613049154158,-29.7830830114685,3.14,1.51,"null","null","null",84.135,"1529",6.117,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3829216341208,"null","null","null","null","null","null","null",43,"5","Changeup",2,4,4,2,4,2,4,2,"Standard","Standard"
"FF","2019-09-24","95.3",-3.22229908651654,5.25439355460941,"Max Scherzer",516416,453286,"null","foul",,,,,"12","null","R","R","R","WSH","PHI","S","null","null",1,2,2019,-1.00492786964408,1.1571853391413,"0.07","3.67","null","null","null",0,6,"Top","null","null",,,"543228",,"190925_005357",10.8161319774771,-138.371430491934,-1.08371230662337,-15.1646206348505,30.2304350308174,-17.4202974737764,3.14,1.53,"281","null","null",94.797,"2526",6.071,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.4283707512236,"null","null","null","null","null","null","null",43,"4","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
"CH","2019-09-24","84.9",-3.33603671222778,5.25555980507539,"Max Scherzer",516416,453286,"null","ball",,,,,"14","null","R","R","R","WSH","PHI","B","null","null",0,2,2019,-1.35787506026165,0.122975485886811,"1.38","0.73","null","null","null",0,6,"Top","null","null",,,"543228",,"190925_005331",13.6788020787602,-122.870645875211,-4.46526231821496,-16.3066749645245,22.295854077258,-30.3095388065902,3.11,1.48,"null","null","null",84.781,"1474",6.325,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.1748804229646,"null","null","null","null","null","null","null",43,"3","Changeup",2,4,4,2,4,2,4,2,"Standard","Standard"
"SL","2019-09-24","85.5",-3.44065224273167,5.1855050008676,"Max Scherzer",516416,453286,"null","foul",,,,,"6","null","R","R","R","WSH","PHI","S","null","null",0,1,2019,0.193889637991799,0.277062016914577,"0.64","2.44","null","null","null",0,6,"Top","null","null",,,"543228",,"190925_005307",9.20926565969194,-124.289647169017,-0.784488466181172,0.340752805576416,22.5367633206824,-29.3612825761172,3.11,1.51,"268","null","null",85.558,"2660",6.17,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3296812202614,"null","null","null","null","null","null","null",43,"2","Slider",2,4,4,2,4,2,4,2,"Standard","Standard"
"SL","2019-09-24","84.7",-3.57899371942449,5.20496165584566,"Max Scherzer",516416,453286,"null","called_strike",,,,,"8","null","R","R","R","WSH","PHI","S","null","null",0,0,2019,0.0274423570270224,0.2509267108868,"-0.05","1.83","null","null","null",0,6,"Top","null","null",,,"543228",,"190925_005245",8.16520202269502,-123.230488559013,-2.12444736997862,-1.10881420145666,20.9702203300862,-29.4383222564745,3.14,1.56,"null","null","null",84.982,"2570",6.162,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3370820844541,"null","null","null","null","null","null","null",43,"1","Slider",2,4,4,2,4,2,4,2,"Standard","Standard"
"FC","2019-09-24","90.1",-3.51261534766547,5.05119624704473,"Max Scherzer",489149,453286,"strikeout","swinging_strike",,,,,"14","Logan Morrison strikes out swinging.  ","R","L","R","WSH","PHI","S",2,"null",1,2,2019,0.0510035063095283,0.40355881830933,"0.82","1.35","null",514917,"null",2,5,"Top","null","null",,,"543228",,"190925_004242",10.5868387038497,-130.86452863743,-4.11132892550753,-1.35716970726076,24.0191911982634,-26.9819730679,3.46,1.65,"null","null","null",90.06,"2322",6.078,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.4212534528344,"null","null","0.00",1,0,0,"null",39,"4","Cutter",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"FF","2019-09-24","95.2",-3.33029024378712,5.28426792265852,"Max Scherzer",489149,453286,"null","foul",,,,,"12","null","R","L","R","WSH","PHI","S","null","null",1,1,2019,-1.03060941761126,1.30534831632123,"0.10","3.54","null",514917,"null",2,5,"Top","null","null",,,"543228",,"190925_004156",11.2319584294443,-138.166559820955,-1.8089224093357,-15.611018265959,30.724918810526,-15.3865042046187,3.4,1.56,"null","null","null",94.742,"2401",6.164,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3358869442843,"null","null","null","null","null","null","null",39,"3","4-Seam Fastball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"CH","2019-09-24","84.0",-3.57323702194337,5.08827186402416,"Max Scherzer",489149,453286,"null","foul",,,,,"13","null","R","L","R","WSH","PHI","S","null","null",1,0,2019,-1.3262495955513,0.527426215864649,"-0.57","1.55","null",514917,"null",2,5,"Top","null","null",,,"543228",,"190925_004122",9.48042706971002,-121.9276140367,-2.81297754876471,-14.9117680863259,22.640883695666,-26.6379317777056,3.55,1.68,"4","null","null",83.648,"1463",6.071,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.428812672713,"null","null","null","null","null","null","null",39,"2","Changeup",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"CH","2019-09-24","85.7",-3.24930443893992,5.33065126894464,"Max Scherzer",489149,453286,"null","ball",,,,,"13","null","R","L","R","WSH","PHI","B","null","null",0,0,2019,-1.40171660899584,0.647584167259911,"-1.79","1.76","null",514917,"null",2,5,"Top","null","null",,,"543228",,"190925_004058",6.26180980045123,-124.64713215709,-3.46259909691429,-15.8152849127118,24.9995362041788,-24.9724750956729,3.52,1.73,"null","null","null",85.606,"1437",6.25,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.2494540994497,"null","null","null","null","null","null","null",39,"1","Changeup",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"FF","2019-09-24","94.2",-3.32352135908175,5.1541104805827,"Max Scherzer",514917,453286,"double","hit_into_play_no_out",,,,,"4","Cesar Hernandez doubles (29) on a sharp line drive to center fielder Victor Robles.  ","R","L","R","WSH","PHI","X",8,"line_drive",3,1,2019,-1.21434633144001,1.23031815397271,"-0.51","2.37","null","null","null",2,5,"Top","84.65","57.94",,,"543228",,"190925_004011",9.92064554107134,-136.753052059839,-4.17226944751466,-17.2895214337129,30.1204481392559,-16.1789656045629,3.37,1.65,"348","101.9","16",93.668,"2426",6.104,565970,453286,"543228","571431","452678","543685","607208","665742","645302","594809",54.3959852460608,"0.600","0.687","1.25",1,1,1,4,38,"5","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
